% Model:              oppgave4.mph
% Version:            COMSOL 6.2.0.278
% Date:               Apr 18 2024, 11:52
% Dimension:          1
% Nodes:              669
% Expressions:        1
% Description:        Line graph
% Arc length (mm)         Magnetic flux density, z-component
665.4876566400662         0.004455096140492515
668.2093089229501         0.00439868087895291
669.5613551561249         0.004370655240873456
671.0207213011494         0.004340405042024998
671.6343414948925         0.004327685730328311
673.7774447532792         0.004283262814297256
674.414278852649          0.004270062317489036
674.51054202267           0.0042715119528089944
674.51054202267           0.004268066944330047
674.6375159614568         0.004268580681973375
675.9193265258887         0.004238989303142291
681.8768892571171         0.004106664112170896
681.8768892571171         0.004101455333161429
682.3393619809851         0.0040958795842086625
683.2676517837184         0.004074232540355134
687.9961758376635         0.003963966794402926
689.1205612030627         0.003937746944479553
690.3005481719786         0.003910230505553364
691.7357546735611         0.0038767625325268913
692.5317805676029         0.003858199786942345
693.8043276380288         0.0038285249136882395
698.261734362972          0.0037245814268980658
703.0010003078025         0.0036140651878537365
703.6272138144822         0.003599462343784083
705.7317660189403         0.003550385715205583
706.2229205539652         0.003538932348242767
707.208781390506          0.0035159427897027105
709.3800530366492         0.0034622855627766767
709.3800530366492         0.0034653103122117505
711.1516166427461         0.0034215998159062445
712.8319498934869         0.0033830092662571485
715.2208874204752         0.003328144903962841
716.3784467077826         0.003301560386201906
718.3003897617799         0.00325062560356243
718.3003897617799         0.0032574210234800685
719.6252258515178         0.003221829678377162
720.4161736770111         0.003204638061553933
722.2475392309033         0.0031648324841808133
725.5258828229487         0.003093576169879447
726.9195136650229         0.003063284958932594
729.3978076597278         0.0030094180926753876
732.0652651747638         0.0029514396698102118
733.6431537189811         0.0029171435324827884
734.213801478528          0.002904740239488025
736.9220021744337         0.002845876244741756
736.9220021744337         0.0028398254696175925
737.214062940228          0.00283395768922423
737.3627183637018         0.002830971059449244
738.181597954594          0.0028145189845021263
738.56931338974           0.002806729410225124
745.8636424983191         0.0026601793551034258
747.0184649314338         0.002636977866836379
749.4604895461697         0.002587915254419124
750.104569042298          0.0025749750807231874
750.2880509995294         0.002571288752543328
750.6072245290712         0.002564876250769489
756.6742114991653         0.0024429846742235126
760.0855480955692         0.0023869892347951147
760.0855480955693         0.002374447656109855
763.2030952239613         0.0023278070040571148
764.2461988729251         0.002308005153982608
765.2943072421808         0.0022881082963592527
766.2618628838222         0.0022697406185416555
770.122752661929          0.00219644707708371
770.6798234503392         0.002185871874663563
770.6798234503392         0.0021850794518786546
771.1159856847677         0.0021776995823956243
774.5435513994817         0.002119705135324258
776.0183920057887         0.0020947508171286922
776.8304783132253         0.002081010308472112
778.2114798345656         0.002057643748557292
782.6872221093524         0.0019800263231564675
783.5848328564647         0.0019641420992511163
789.9707437713561         0.0018645668795500905
790.4434295266718         0.0018571963119736858
791.9933206524106         0.001829246441461224
791.9933206524106         0.00183302892983902
794.9277882822672         0.0017889525485001107
801.4434103643905         0.0016994849476034688
801.8356362053107         0.0016940991986213315
801.8952724070334         0.0016932803193451134
802.3669258864255         0.001686803930026656
803.0895244475527         0.0016768817523956391
803.4823745322142         0.001671487431769965
805.2336753318825         0.0016474398920232078
809.1790344637715         0.0015932652005268683
811.2512606128379         0.001564810956291167
811.6779517582108         0.0015589519557814382
815.3346625351066         0.0015087407654671057
816.0813444757054         0.0014985559756212252
819.7002003157434         0.0014561132352201136
822.1952410812789         0.001426803906262335
822.4709563527758         0.0014235650695657118
829.8567052420788         0.001336804425496769
832.8564268927003         0.0013015665929714264
833.7959836605893         0.001290529587578587
838.1239482035088         0.0012510821328410122
838.1239482035088         0.0012396888405021358
840.8316840287437         0.0012227651707791586
840.8316840287439         0.0012176855055598687
841.326814000732          0.0012130457104944513
842.6755223812117         0.0012004071492227274
846.1342246939722         0.0011679961241759938
846.7504596246547         0.0011622214711509743
850.1358492648047         0.0011304974491051776
850.3731990465993         0.0011282732768501105
852.0113611858781         0.001112922284100348
852.0123506284544         0.0011129130121696551
852.0124257360231         0.0011129123083469293
852.017170559498          0.0011128678452568498
852.0171705594984         0.0011101078787338914
858.760245474404          0.0010486110210519276
859.7079973154284         0.0010399675222296837
862.4100583434563         0.0010153247198605012
864.2359432055246         9.986726460035063E-4
865.1031358873302         9.907638468860645E-4
867.3345002684441         9.722708842227056E-4
867.3345002684441         9.704137989459736E-4
869.5449958736648         9.55605441326709E-4
870.0141516213637         9.520683665168157E-4
870.6945128348624         9.469389643477122E-4
872.0826164262598         9.364737270129153E-4
872.0826164262598         9.33949148572988E-4
872.9552460637534         9.27120333016193E-4
875.3158915973971         9.086469598328956E-4
875.6068597937548         9.063699707639369E-4
877.8510702798842         8.888077670271718E-4
878.1565723345562         8.864170423784312E-4
878.9630170539488         8.801061608671185E-4
881.7811306726842         8.580528437511511E-4
882.155253579909          8.551251225058031E-4
883.3578986053591         8.457137517406701E-4
884.2122629189455         8.390278725714194E-4
884.5155903478507         8.366541655870229E-4
885.0227930633549         8.405409593281409E-4
885.022793063355          8.326850203216465E-4
889.9975337696592         8.022926818857904E-4
894.937771609344          7.643096796191562E-4
895.7980489691017         7.624934196754861E-4
897.2263309377074         7.573696197905923E-4
897.3987675632825         7.561717623459596E-4
897.3987675632828         7.567365548592368E-4
902.1679342798551         7.295093925345959E-4
902.2758739624546         7.239246063122693E-4
902.275873962455          7.2889316512338E-4
906.3892599202065         7.004406336471468E-4
906.5403480158125         6.91989713922516E-4
906.5403480158125         6.995780477522959E-4
908.0273797516195         6.844718239293844E-4
915.2971767879754         6.477183821058594E-4
915.2971767879759         6.422838624192938E-4
919.3688636184492         6.226852229815389E-4
920.2299314160202         6.185405630411535E-4
920.5865385055515         6.168240720486825E-4
920.8803423339936         6.154098779962399E-4
922.2229803749176         6.089472299697404E-4
924.0022016463927         6.003831341461993E-4
930.727453089027          5.680118385038234E-4
933.4947059385846         5.546919558385656E-4
933.9906004241853         5.523050195079708E-4
937.8708425025197         5.336278793960835E-4
942.0860425596046         5.133384540261074E-4
946.1090695431757         4.939740336808911E-4
947.7512694323506         4.860694759747879E-4
953.4370167168939         4.587017250637967E-4
953.4446320301821         4.586650695483922E-4
953.518704630122          4.5830852882242703E-4
958.7234331477669         4.370817140357905E-4
958.7234331477669         4.33256111523217E-4
959.8001358770067         4.3273504802930195E-4
960.1107450259749         4.314811139651817E-4
964.686891877171          4.130071364980315E-4
965.814290324181          4.0845581107430354E-4
966.7667551600165         4.0540371991505523E-4
966.9731758911477         4.054439605751951E-4
966.9809675492254         4.0538589407870525E-4
969.4527342005433         3.9735566237036847E-4
969.4961149519356         3.97215248153391E-4
974.0036593550872         3.826252906826803E-4
975.0319644276364         3.792968870257092E-4
977.5645631509778         3.710994064555572E-4
980.5032044643845         3.615876528377116E-4
981.1520226026739         3.594875672484825E-4
983.0829613060471         3.5323753152147625E-4
985.2325872264773         3.462796520305752E-4
985.6931822913144         3.444765900690289E-4
985.6931822913144         3.4478880428596054E-4
988.8473098389214         3.3485739092254226E-4
991.0874599679031         3.280255650424981E-4
993.8216407673813         3.196870849982681E-4
997.4952151250839         3.084837196324705E-4
1003.1200595870655        2.91329530960278E-4
1005.7294909757612        2.8395404706215463E-4
1005.8502841323342        2.841713439063248E-4
1005.8592898929292        2.841441127013873E-4
1006.103755981172         2.826927266647359E-4
1006.103755981172         2.8340490738063874E-4
1006.239056497068         2.823508651367238E-4
1006.239056497068         2.781069023201944E-4
1006.7293328834054        2.769913313968326E-4
1007.4251764262906        2.7540801462840503E-4
1013.8361274065974        2.6082058862945457E-4
1015.5832018017201        2.568453096838193E-4
1016.1504518304711        2.5555459355719E-4
1016.1504518304712        2.5205179901960275E-4
1017.4113890703059        2.493191679690154E-4
1021.7964445479248        2.3981612659777123E-4
1023.2329131992861        2.367030939139072E-4
1026.4844911235994        2.2965646025230693E-4
1028.1356363096234        2.2607819286371792E-4
1028.3651047363205        2.2558090201678875E-4
1029.7689689176666        2.2253852787510923E-4
1029.8631946507862        2.223343272567499E-4
1032.4688220155435        2.1668756069433842E-4
1032.7766469532132        2.1602046009944184E-4
1035.1071443939843        2.1096993936868611E-4
1037.9299447536473        2.0485252791572844E-4
1038.8598835489413        2.0283721775842065E-4
1040.5797576421699        1.99110005013975E-4
1042.7798034219886        1.9434219165996922E-4
1045.9966948565086        1.8723892961122236E-4
1045.9966948565088        1.8737072857470707E-4
1047.5029130879243        1.8441095266453155E-4
1051.3826901697832        1.7712653669017255E-4
1053.2004485640336        1.7371363228736074E-4
1053.593277884791         1.729760816191278E-4
1054.2875253549457        1.7050055503692706E-4
1054.2875253549457        1.716726079259095E-4
1054.4059774966984        1.7029657958810124E-4
1057.0986660223755        1.6565975038057681E-4
1061.6779037934807        1.5777426966389395E-4
1066.3392838015113        1.4974733941834276E-4
1067.8766133037789        1.471000468444978E-4
1068.6630662655764        1.4574576912955445E-4
1069.8116178017272        1.4376795503840095E-4
1070.5645695902379        1.4247136658729267E-4
1072.6966213527933        1.3879995795970768E-4
1077.9453318099736        1.2976164041290808E-4
1081.4657012526113        1.2369953865206865E-4
1082.4713943571562        1.2196772781821556E-4
1084.0304731581004        1.2047826953209928E-4
1084.0304731581004        1.1928298279400862E-4
1086.5963681650594        1.1647593879000491E-4
